,LOCATION,SUBJECT,TIME,Value
613,HUN,TRY,2011,21.124001
614,HUN,TRY,2012,22.046715
615,HUN,TRY,2013,22.505820999999997
616,HUN,TRY,2014,23.356073000000002
617,HUN,TRY,2015,24.242552
618,HUN,TRY,2016,23.713329
619,HUN,TRY,2017,24.054041
620,HUN,TRY,2018,25.101177
621,HUN,TRY,2019,25.981535
622,HUN,UPPSRY,2000,55.17625
623,HUN,UPPSRY,2001,56.029442
624,HUN,UPPSRY,2002,57.210910999999996
625,HUN,UPPSRY,2003,58.6562
626,HUN,UPPSRY,2004,58.601333999999994
627,HUN,UPPSRY,2005,59.306281999999996
628,HUN,UPPSRY,2006,60.37445400000001
629,HUN,UPPSRY,2007,61.157066
630,HUN,UPPSRY,2008,60.505455000000005
631,HUN,UPPSRY,2009,60.712025
632,HUN,UPPSRY,2010,61.170437
633,HUN,UPPSRY,2011,60.643832999999994
634,HUN,UPPSRY,2012,60.073402
635,HUN,UPPSRY,2013,59.988312
636,HUN,UPPSRY,2014,59.738323
637,HUN,UPPSRY,2015,58.9744
638,HUN,UPPSRY,2016,59.648968
639,HUN,UPPSRY,2017,59.97220600000001
640,HUN,UPPSRY,2018,59.760651
641,HUN,UPPSRY,2019,58.9921
642,ISL,BUPPSRY,2003,34.262501
643,ISL,BUPPSRY,2004,33.643612
644,ISL,BUPPSRY,2005,31.825998
645,ISL,BUPPSRY,2006,31.319490000000002
646,ISL,BUPPSRY,2007,30.819305
647,ISL,BUPPSRY,2008,30.940493
648,ISL,BUPPSRY,2009,30.005921999999998
649,ISL,BUPPSRY,2010,29.282290999999997
650,ISL,BUPPSRY,2011,29.195244
651,ISL,BUPPSRY,2012,29.207808
652,ISL,BUPPSRY,2013,27.830322
653,ISL,BUPPSRY,2014,26.743409999999997
654,ISL,BUPPSRY,2015,25.303907000000002
655,ISL,BUPPSRY,2016,22.001960999999998
656,ISL,BUPPSRY,2017,22.86241
